Month,Date ,Invoice No,Invoice,Description,More Info,Amount without VAT,VAT,Total Amount,Payment Method,Country,Note,
February,25/02/2026,25750873094597716-25848312524853778,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 18.00,,€ 18.00,,,,
February,25/02/2026,26137159322635761-25846154681736229,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 18.00,,€ 18.00,,,,
February,22/02/2026,25758131983871836-25720700594281633,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 18.00,,€ 18.00,,,,
February,19/02/2026,25727043780313990-25809968188688214,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 18.00,,€ 18.00,,,,
February,16/02/2026,25717830374568658-26048660261485668,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 16.00,,€ 16.00,,,,
February,15/02/2026,25746457635039268-25575314378820257,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 14.00,,€ 14.00,,,,
February,14/02/2026,25664618523223178-25678459978505704,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 12.00,,€ 12.00,,,,
February,13/02/2026,25633376229680737-25691309457220750,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 11.00,,€ 11.00,,,,
February,12/02/2026,25681621161522913-26012554058429622,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 10.00,,€ 10.00,,,,
February,11/02/2026,25652562817762087-25755780550773644,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 9.00,,€ 9.00,,,,
February,10/02/2026,25747485568269809-25630385269979837,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 8.00,,€ 8.00,,,,
February,10/02/2026,25991501657201529-25700325816319117,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 7.00,,€ 7.00,,,,
February,09/02/2026,25626118373739865-25646680121683684,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 6.00,,€ 6.00,,,,
February,08/02/2026,25516605078024522-25614671648217871,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 5.00,,€ 5.00,,,,
February,07/02/2026,25668164486201917-25668164532868579,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 4.00,,€ 4.00,,,,
February,06/02/2026,25702996139385419-25620342044317492,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 3.00,,€ 3.00,,,,
February,05/02/2026,25942340055451023-25492475023770861,META ,Meta Platforms Ireland Limited,Meta Platforms Ireland Limited,€ 2.00,,€ 2.00,,,,
January,31/01/2026,,Andreas TH.CHILAS LTD ,Equipment,Equipment,€ 4.71,€ 0.89,€ 5.60,,,,
December,31/12/2025,,Superhome center ,Desk-Equipment ,Equipment,€ 29.19,€ 5.55,€ 34.74,,,,
December,31/12/2025,,Parga,office,Stationary,€ 26.87,€ 0.81,€ 27.68,,,,
December,31/12/2025,,Public,office,Stationary,€ 18.44,€ 0.55,€ 18.99,,,,
January,05/01/2026,,R.A.M OIL CYPRUS LTD,petrol station,fuels ,€ 43.29,€ 8.22,€ 51.51,,,,
December,17/12/2025,,R.A.M OIL CYPRUS LTD,petrol station,fuels ,€ 16.81,€ 3.19,€ 20.00,,,,
December,23/12/2025,,R.A.M OIL CYPRUS LTD,petrol station,fuels ,€ 42.02,€ 7.98,€ 50.00,,,,
December,12/12/2025,,R.A.M OIL CYPRUS LTD,petrol station,fuels ,€ 41.18,€ 7.82,€ 49.00,,,,
February,27/02/2026,,Petrolina ,petrol station,fuels ,€ 50.42,€ 9.58,€ 60.00,,,,
February,23/02/2026,,Petrolina ,petrol station,fuels ,€ 46.22,€ 8.78,€ 55.00,,,,
February,16/02/2026,,Petrolina ,petrol station,fuels ,€ 50.43,€ 9.58,€ 60.01,,,,
February,16/02/2026,,LIDL,Supermarket,food,€ 21.19,€ 1.24,€ 22.43,,,,
February,03/02/2026,,LIDL,Supermarket,food,€ 29.64,€ 4.87,€ 34.51,,,,
February,22/02/2026,,LIDL,Supermarket,food,€ 10.17,€ 0.80,€ 10.97,,,,
February,11/02/2026,,LIDL,Supermarket,food,€ 6.45,€ 0.32,€ 6.77,,,,
February,23/02/2026,,LIDL,Supermarket,food,€ 4.82,€ 0.61,€ 5.43,,,,
February,06/02/2026,,LIDL,Supermarket,food,€ 17.28,€ 1.00,€ 18.28,,,,
January,27/01/2026,,LIDL,Supermarket,food,€ 9.92,€ 0.80,€ 10.72,,,,
February,22/02/2026,,LIDL,Supermarket,food,€ 15.43,€ 0.65,€ 16.08,,,,
February,08/02/2026,,LIDL,Supermarket,food,€ 24.85,€ 1.32,€ 26.17,,,,
January,10/01/2026,,LIDL,Supermarket,food,€ 42.81,€ 3.87,€ 46.68,,,,
January,29/01/2026,,LIDL,Supermarket,food,€ 29.78,€ 3.82,€ 33.60,,,,
February,01/02/2026,,LIDL,Supermarket,food,€ 11.39,€ 0.57,€ 11.96,,,,
January,24/01/2026,,LIDL,Supermarket,food,€ 27.61,€ 2.19,€ 29.80,,,,
December,28/12/2025,,LIDL,Supermarket,food,€ 11.23,€ 1.90,€ 13.13,,,,
January,04/01/2026,,LIDL,Supermarket,food,€ 23.30,€ 1.74,€ 25.04,,,,
January,25/01/2026,,LIDL,Supermarket,food,€ 15.00,€ 1.38,€ 16.38,,,,
February,07/02/2026,,LIDL,Supermarket,food,€ 2.42,€ 0.12,€ 2.54,,,,
December,21/12/2025,,LIDL,Supermarket,food,€ 25.71,€ 1.71,€ 27.42,,,,
December,19/12/2025,,LIDL,Supermarket,food,€ 42.05,€ 2.38,€ 44.43,,,,
January,21/01/2026,,LIDL,Supermarket,food,€ 11.23,€ 1.23,€ 12.46,,,,
February,27/02/2026,,Sklavenitis ,Supermarket,food,€ 9.05,€ 0.67,€ 9.72,,,,
February,09/02/2026,,Sklavenitis ,Supermarket,food,€ 22.06,€ 1.74,€ 23.80,,,,
February,19/02/2026,,Sklavenitis ,Supermarket,food,€ 18.62,€ 1.34,€ 19.96,,,,
January,22/01/2026,,Sklavenitis ,Supermarket,food,€ 10.63,€ 1.20,€ 11.83,,,,
February,13/02/2026,,Sklavenitis ,Supermarket,food,€ 34.37,€ 4.02,€ 38.39,,,,
December,29/12/2025,,Sklavenitis ,Supermarket,food,€ 5.43,€ 0.27,€ 5.70,,,,
February,03/02/2026,,Sklavenitis ,Supermarket,food,€ 9.43,€ 1.01,€ 10.44,,,,
January,20/01/2026,,Sklavenitis ,Supermarket,food,€ 6.47,€ 0.28,€ 6.75,,,,
December,15/12/2026,,Sklavenitis ,Supermarket,food,€ 17.72,€ 2.01,€ 19.73,,,,
December,28/12/2025,,Metro supermarket,Supermarket,food,€ 11.52,€ 1.13,€ 12.65,,,,
December,23/12/2025,,Metro supermarket,Supermarket,food,€ 19.00,€ 0.95,€ 19.95,,,,
December,21/12/2025,,Metro supermarket,Supermarket,food,€ 13.06,€ 0.53,€ 13.59,,,,
December,14/12/2025,,Metro supermarket,Supermarket,food,€ 15.72,€ 1.82,€ 17.54,,,,
December,17/12/2025,,Metro supermarket,Supermarket,food,€ 8.32,€ 0.42,€ 8.74,,,,
December,01/12/2025,,Zorbas Bakeries,bakerie,food,€ 30.64,€ 1.56,€ 32.20,,,,
February,20/02/2026,,piatsa gourounaki ,Restaurants & Bar,Meeting,€ 39.45,€ 3.55,€ 43.00,,,,
February,05/02/2026,,BABYLON,Restaurants & Bar,Meeting,€ 20.18,€ 1.82,€ 22.00,,,,
January,14/01/2026,,Pasta Strada ,Restaurants & Bar,Meeting,€ 6.19,€ 0.31,€ 6.50,,,,
December,25/12/2025,,Oriental,bakerie,food,€ 43.41,€ 3.59,€ 47.00,,,,
December,26/12/2025,,Oriental,bakerie,food,€ 25.24,€ 1.26,€ 26.50,,,,
December,17/12/2025,,CAFÉ LA MODE ,Restaurants & Bar,Meeting,€ 57.43,€ 4.97,€ 62.40,,,,
January,24/01/2026,,camel active,shop ,clothes ,€ 59.14,€ 0.11,€ 59.25,,,,
February,16/02/2026,,A.M. Eshopforfitness Ltd ,shop ,clothes ,€ 21.01,€ 3.99,€ 25.00,,,,
December,17/12/2025,,Pantelis Katelaris -Pergamos,office,Stationary,€ 3.28,€ 0.62,€ 3.90,,,,
December,06/12/2025,,Athienites ,bakerie,food,€ 20.00,€ 1.00,€ 21.00,,,,
December,27/12/2025,,Parga,office,Stationary,€ 22.72,€ 0.68,€ 23.40,,,,
January,10/01/2026,,Rivergate Bibliopolis ,office,Stationary,€ 10.63,€ 0.32,€ 10.95,,,,
January,25/01/2026,P202000412466,Superhome center ,Office equipment,Equipment,€ 26.22,€ 4.80,€ 31.02,,,,
February,01/02/2026,,Superhome center ,Office equipment,Equipment,€ 2.17,€ 0.41,€ 2.58,,,,
January,30/01/2026,,Superhome center ,Office equipment,Equipment,€ 1.74,€ 0.33,€ 2.07,,,,
December,21/12/2025,p205000418403,Superhome center ,Office equipment,Equipment,€ 45.36,€ 8.62,€ 53.98,,,,
December,29/12/2025,,Συντεχνιακό Φαρμακείο ΛΤΔ,pharmacy ,health and safety,€ 58.45,€ 2.93,€ 61.38,,,,
January,05/01/2026,,Συντεχνιακό Φαρμακείο ΛΤΔ,pharmacy ,health and safety,€ 52.88,€ 2.65,€ 55.53,,,,
January,05/01/2026,,Συντεχνιακό Φαρμακείο ΛΤΔ,pharmacy ,health and safety,€ 35.86,€ 1.92,€ 37.78,,,,
February,15/02/2026,,Zorbas Bakeries,bakerie,food,€ 14.71,€ 0.74,€ 15.45,,,,
January,22/01/2026,,ΣουβλάκιLovers ,Restaurants & Bar,Meeting,€ 25.23,€ 2.27,€ 27.50,,,,
