Month,Date ,Invoice,Description,Amount without VAT,VAT,Total Amount,Payment Method,Invoice Number,Note,
June,10/06/2024,Destination Fitness,Staff Gym,€ 60.00,€ 3.00,€ 63.00,,,,
July,08/07/2024,Destination Fitness,Staff Gym,€ 60.00,€ 3.00,€ 63.00,,,,
August,12/08/2024,Destination Fitness,Staff Gym,€ 60.76,€ 3.04,€ 63.80,,,,
July,31/07/2024,Google Cloud EMEA Limited,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,,,
August,31/08/2024,Google Cloud EMEA Limited,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,,,
August,19/08/2024,The Fast Jap Co Ltd (Rebuke),Business Meeting,€ 121.74,€ 10.96,€ 132.70,,,,
July,27/07/2024,A.S. Twice As Nice Pastries Ltd,Food,€ 9.05,€ 0.45,€ 9.50,,,,
July,17/07/2024,Parga Bookshop,Books,€ 10.25,€ 0.31,€ 10.56,,,,
July,28/07/2024,Bean Bar,Business Meeting,€ 18.17,€ 1.63,€ 19.80,,,,
August,01/08/2024,Hetafre Trading Ltd,Business Meeting,€ 9.91,€ 0.89,€ 10.80,,,,
July,27/07/2024,Mavros Ltd,Gift,€ 13.44,€ 2.55,€ 15.99,,,,
August,03/08/2024,Stop & Watch,Staff Outfit,€ 13.29,€ 3.71,€ 17.00,,,,
August,16/08/2024,Francium Enterprises (Celio),Staff Outfit,€ 10.92,€ 2.07,€ 12.99,,,,
June,30/06/2024,Google Cloud EMEA Limited,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,€ 408.23,€ 31.61,€ 439.84,,,EU Purchases,€ 0.00
,,,,,,,,,NON EU Purchases,€ 0.00
,,,,Net Sales,VAT,Gross Sales,,,,
,,,June,"€ 3,400.00",€ 646.00,"€ 4,046.00",,,,
,,,July,€ 0.00,€ 0.00,€ 0.00,,,,
,,,August,€ 560.00,€ 106.40,€ 666.40,,,,
,,,,,,,,,,
,,,,,€ 752.40,,,,,
,,,,,,,,,,
,,,,,€ 720.79,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,€ 720.79,,,,,
