Month,Date ,Invoice,Description,Amount without VAT,VAT,Total Amount,Payment Method,Invoice Number,Note,
March,05/03/2024,Destination Fitness,Staff Gym,€ 60.57,€ 3.03,€ 63.60,,,,
April,08/04/2024,Destination Fitness,Staff Gym,€ 60.57,€ 3.03,€ 63.60,,,,
May,07/05/2024,Destination Fitness,Staff Gym,€ 60.76,€ 3.04,€ 63.80,BT,,,
March,25/03/2024,Bazaraki: Simon K.,Titan Chair,€ 50.00,€ 0.00,€ 50.00,,,,
March,28/03/2024,Bazaraki: Victor Rensyansky,Whiteboard,€ 50.00,€ 0.00,€ 50.00,,,,
May,27/05/2024,Nicosia Municipality,Parking,€ 2.52,€ 0.48,€ 3.00,,,,
May,21/05/2024,Parga Bookshop,Books,€ 20.62,€ 0.62,€ 21.24,,,,
February,14/02/2024,EKO,Fuels,€ 37.76,€ 7.17,€ 44.93,,,,
March,28/03/2024,EKO,Fuels,€ 42.45,€ 8.07,€ 50.52,,,,
March,14/03/2024,EKO,Fuels,€ 41.18,€ 7.82,€ 49.00,,,,
February,20/02/2024,EKO,Fuels,€ 31.88,€ 6.06,€ 37.94,,,,
April,24/04/2024,Voici La Mode LTD,Business Meeting,€ 58.71,€ 5.19,€ 63.90,,,,
March,23/03/2024,ERA,Staff Outfit,€ 11.34,€ 2.16,€ 13.50,,,,
March,10/03/2024,Crestolex LTD - Local All Day,Business Meeting,€ 13.12,€ 1.18,€ 14.30,,,,
March,01/03/2024,Neocleous & Constantinides LTD: Babylon,Business Meeting,€ 29.82,€ 2.68,€ 32.50,,,,
March,05/03/2024,Mega Brands Outlet,Staff Outfit,€ 16.81,€ 3.19,€ 20.00,,,,
May,19/05/2024,To Kafe tis Crysanthis LTD,Business Meeting,€ 15.51,€ 1.39,€ 16.90,,,,
May,18/05/2024,Mediterranean Home of Seafood LTD: Ocean Basket Larnacas,Business Meeting,€ 35.32,€ 3.18,€ 38.50,,,,
May,17/05/2024,Lionello Investments LTD: Taerna Stou Rousia,Business Meeting,€ 40.55,€ 3.65,€ 44.20,,,,
May,18/05/2024,Glykolemon,Business Meeting,€ 14.50,€ 1.30,€ 15.80,,,,
May,31/05/2024,Avantage B&R Italian Restaurants Ltd: Jamie Oliver,Business Meeting,€ 88.17,€ 7.93,€ 96.10,,,,
May,21/05/2024,SuperHOme Center (DIY) Limited,Suitcase,€ 38.33,€ 7.23,€ 45.56,,,,
May,09/05/2024,Google Cloud EMEA Limited,Google Workspace Subscription,€ 5.11,€ 0.00,€ 5.11,,,,
April,17/04/2024,WrpaMarket LLC,Website Theme,€ 35.79,€ 0.00,€ 35.79,,,,
April,28/04/2024,Canva Pty Limited,Canva Design Subscription - Yearly,€ 92.43,€ 17.56,€ 109.99,,,,
April,15/04/2024,Eshop Cyprus LTD,Hardware,€ 31.76,€ 6.04,€ 37.80,,,,
May,08/05/2024,MCIT LTD,Hardware,€ 515.51,€ 97.95,€ 613.46,,,,
April,02/04/2024,MCIT LTD,Hardware,€ 90.50,€ 17.20,€ 107.70,,,,
March,12/03/2024,MCIT LTD,Hardware,€ 172.00,€ 32.68,€ 204.68,,,,
April,16/04/2024,Registry .CY: mysunbed.com.cy,Domain,€ 16.81,€ 3.19,€ 20.00,,,,
April,17/04/2024,Registry .CY: mysunbed.cy,Domain,€ 16.81,€ 3.19,€ 20.00,,,,
April,18/04/2024,Registry .CY: sunbed.com.cy,Domain,€ 16.81,€ 3.19,€ 20.00,,,,
April,19/04/2024,Registry .CY: sunbed.cy,Domain,€ 16.81,€ 3.19,€ 20.00,,,,
April,23/04/2024,Registry .CY: myparking.cy,Domain,€ 16.81,€ 3.19,€ 20.00,,,,
March,01/03/2024,Registry .CY: whitelabel.com.cy,Domain,€ 16.81,€ 3.19,€ 20.00,,,,
April,15/04/2024,Go Daddy Europe LimitedL mysunbed.eu,Domain,€ 3.99,€ 0.76,€ 4.75,,,,
April,15/04/2024,Europlanet O.E.: mysunbed.gr,Domain,€ 19.00,€ 4.56,€ 23.56,,,,
,,,,€ 0.00,€ 0.00,€ 0.00,,,,
,,,,€ 0.00,€ 0.00,€ 0.00,,,,
,,,,,,,,,,
,,,,"€ 1,887.43",€ 274.30,"€ 2,161.73",,,EU Purchases,€ 138.30
,,,,,,,,,NON EU Purchases,€ 0.00
,,,,Net Sales,VAT,Gross Sales,,,,
,,,March,"€ 4,316.00",€ 820.04,"€ 5,136.04",,,,
,,,April,"€ 5,449.50","€ 1,035.41","€ 6,484.91",,,,
,,,May,€ 0.00,€ 0.00,€ 0.00,,,,
,,,,,,,,,,
,,,,,"€ 1,855.45",,,,,
,,,,,,,,,,
,,,,,"€ 1,581.15",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,"€ 1,581.15",,,,,
