Month,Date ,Invoice,Description,Amount without VAT,VAT,Total Amount,Payment Method,Invoice Number,Note,
September,11/09/2024,Destination Fitness,Staff Gym,€ 140.91,€ 7.09,€ 148.00,,,,
September,30/09/2024,Google Cloud EMEA Limited,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,,,
October,31/10/2024,Google Cloud EMEA Limited,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,,,
November,30/11/2024,Google Cloud EMEA Limited,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,,,
October,16/10/2024,LabelShop Dimatica s.r.l.,Labels,€ 27.40,€ 0.00,€ 27.40,Italy,,,
November,13/11/2024,LabelShop Dimatica s.r.l.,Labels,€ 212.50,€ 0.00,€ 212.50,Italy,,,
November,24/11/2024,MCIT LTD,Hardware,€ 47.35,€ 9.00,€ 56.35,,,,
September,16/09/2024,C.K.M. Microsat Internet Technology Ltd,SMS Package (Services),€ 50.00,€ 9.50,€ 59.50,,,,
November,06/11/2024,C. Net Technologies Ltd,Hardware (PC),"€ 1,302.52",€ 247.48,"€ 1,550.00",,,,
November,29/11/2024,About You SE & Co. KG,Gifts,€ 41.12,€ 7.81,€ 48.93,,,,
November,30/11/2024,About You SE & Co. KG,Gifts,€ 10.06,€ 1.91,€ 11.97,,,,
November,30/11/2024,About You SE & Co. KG,Gifts,€ 13.84,€ 2.63,€ 16.47,,,,
November,30/11/2024,Voici La Mode Limited,Gifts,€ 21.85,€ 4.15,€ 26.00,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,"€ 1,888.25",€ 289.57,"€ 2,177.82",,,EU Purchases,€ 0.00
,,,,,,,,,NON EU Purchases,€ 0.00
,,,,Net Sales,VAT,Gross Sales,,,,
,,,September,"€ 1,760.00",€ 334.40,"€ 2,094.40",,,,
,,,October,"€ 1,650.00",€ 313.50,"€ 1,963.50",,,,
,,,November,€ 350.00,€ 66.50,€ 416.50,,,,
,,,,,,,,,,
,,,,,€ 714.40,,,,,
,,,,,,,,,,
,,,,,€ 424.83,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,€ 424.83,,,,,
