Month,Date ,Invoice,Description,Amount without VAT,VAT,Total Amount,Payment Method,Invoice Number,Note,
December,23/12/2024,Destination Fitness,Staff Gym,€ 140.95,€ 7.05,€ 148.00,,,,
December,10/12/2024,Destination Fitness,Staff Gym,€ 60.76,€ 3.04,€ 63.80,,,,
December,31/12/2024,Google Cloud EMEA Limited,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,,,
January,31/01/2025,Google Cloud EMEA Limited,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,,,
February,28/02/2025,Google Cloud EMEA Limited,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,,,
October,16/10/2024,Neocleous & Constantinides LTD (Babylon),Meeting,€ 21.56,€ 1.94,€ 23.50,,,,
February,13/02/2025,A.M. EshopForFitness LTD,Gift,€ 8.40,€ 1.60,€ 10.00,,,,
February,22/02/2025,About You SE & Co. KG,Outfit,€ 21.82,€ 4.14,€ 25.96,,,,
February,17/02/2025,MindByte Communications LTD,3 Penguin Brochure Stands,€ 100.00,€ 19.00,€ 119.00,,,,
December,02/12/2024,AKVA,Outfit,€ 66.93,€ 15.00,€ 81.93,Germany,,,
February,28/02/2025,Cyta,Gifts,€ 16.02,€ 3.04,€ 19.06,,,,
December,02/12/2024,Iminder,Horeca In Action Attendance,"€ 1,000.00",€ 190.00,"€ 1,190.00",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,"€ 1,457.14",€ 244.81,"€ 1,701.95",,,EU Purchases,€ 81.93
,,,,,,,,,NON EU Purchases,€ 0.00
,,,,Net Sales,VAT,Gross Sales,,,,
,,,December,€ 0.00,€ 0.00,€ 0.00,,,,
,,,January,"€ 8,000.00","€ 1,520.00","€ 9,520.00",,,,
,,,February,€ 0.00,€ 0.00,€ 0.00,,,,
,,,,,,,,,,
,,,,,"€ 1,520.00",,,,,
,,,,,,,,,,
,,,,,"€ 1,275.19",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,"€ 1,275.19",,,,,
