Month,Date ,Invoice No,Invoice,Description,More Info,Amount without VAT,VAT,Total Amount,Payment Method,Country,Note,
June,01/06/2025,5291872594,Google Cloud EMEA Limited,Service Subscription,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,Ireland,Ireland,
July,01/07/2025,5322717253,Google Cloud EMEA Limited,Service Subscription,Google Workspace Subscription x12,€ 82.26,€ 0.00,€ 82.26,,Ireland,Ireland,
July,21/07/2025,4177065,CJS & Services LTD,License,MS Office 2024,€ 26.50,€ 0.00,€ 26.50,,Non EU,USA,
June,24/06/2025,04557-26418979-1,Canva PTY LTD,Developer Tools,Design,€ 92.43,€ 17.56,€ 109.99,,Non EU,AU,
June,20/06/2025,A22041757580,AnyDesk Software GmbH,Developer Tools,Remote Connection,€ 238.80,€ 0.00,€ 238.80,,Non EU,USA,
July,01/07/2025,781117873368,LinkedIn Ireland Unlimited Company,Marketing,LinkedIn,€ 50.00,€ 0.00,€ 50.00,,,Ireland,
June,17/06/2025,110014,University Of Cyprus,Domain,Chaplin domains,€ 50.42,€ 9.58,€ 60.00,,,,
June,17/06/2025,Q-229867,Seagull Software,License,GFI,€ 365.20,€ 0.00,€ 365.20,,,,
August,27/08/2025,Q-283155,Seagull Software,License,GFI + 2nd printer,€ 188.30,€ 0.00,€ 188.30,,,,
June,13/06/2025,250579,Database Mart,Server Subscription,Email Server,€ 70.11,€ 0.00,€ 70.11,,Non EU,USA,
June,10/06/2025,248401,Database Mart,Server Subscription,Web Server,€ 215.18,€ 0.00,€ 215.18,,Non EU,USA,
June,11/06/2025,249376,Database Mart,Rapid SSL,thekennedyscafe.com,€ 35.92,€ 0.00,€ 35.92,,Non EU,USA,
June,12/06/2025,2700508,Database Mart,Server Subscription,Web Server,€ 212.21,€ 0.00,€ 212.21,,Non EU,USA,
June,13/06/2025,272706,Database Mart,Server Subscription,Email Server,€ 70.38,€ 0.00,€ 70.38,,Non EU,USA,
July,20/08/2025,301506,Database Mart,Domain,mychairpos.com,€ 15.11,€ 0.00,€ 15.11,,Non EU,USA,
August,18/08/2025,299867,Database Mart,Domain,eomfa.com,€ 15.11,€ 0.00,€ 15.11,,Non EU,USA,
June,15/08/2025,297755,Database Mart,Domain,3inventors.com,€ 15.09,€ 0.00,€ 15.09,,Non EU,USA,
July,13/08/2025,296019,Database Mart,Server Subscription,Email Server,€ 70.41,€ 0.00,€ 70.41,,Non EU,USA,
August,15/08/2025,293599,Database Mart,Server Subscription,Web Server,€ 212.58,€ 0.00,€ 212.58,,Non EU,USA,
August,08/08/2025,292601,Database Mart,Rapid SSL,app.chaplin.cy,€ 34.55,€ 0.00,€ 34.55,,Non EU,USA,
June,05/06/2025,1250067,Iminders,Training,Sales Serminar,€ 500.00,€ 0.00,€ 500.00,,,,
July,30/06/2025,2001721212-6-2025,Cyta,Bill,Telephone,€ 49.40,€ 6.19,€ 55.59,,,,
August,31/07/2025,2001721212-7-2025,Cyta,Bill,Telephone,€ 53.75,€ 7.02,€ 60.77,,,,
June,31/08/2025,2001721212-8-2025,Cyta,Bill,Telephone,€ 49.92,€ 6.29,€ 56.21,,,,
July,30/06/2025,20275491,Cablenet,Bill,Internet,€ 21.01,€ 3.99,€ 25.00,,,,
August,31/07/2025,,Cablenet,Bill,Internet,€ 21.01,€ 3.99,€ 25.00,,,,
August,31/08/2025,,Cablenet,Bill,Internet,€ 21.01,€ 3.99,€ 25.00,,,,
August,29-Aug,11946832,Ministry Of Interrior,Government,Passport,€ 70.00,€ 0.00,€ 70.00,,,,
July,05/08/2025,4123489/1,Registrar Of Companies And Intellectual Property,Government,Documents,€ 120.00,€ 0.00,€ 120.00,,,,
November,16/07/2025,,Tax And Postal Charges,Government,PostOffice,€ 3.60,€ 0.00,€ 3.60,,,,
August,07/11/2025,,EOA,Bill,WaterBill,€ 23.40,€ 0.95,€ 24.35,,,,
January,07/08/2025,23285469112,AHK,Bill,Electricity 0625-0825,€ 167.34,€ 14.77,€ 182.11,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
January,,,,,,€ 0.00,,,,,,
June,11/06/2025,,EKO,Traveling Expenses,Fuels,€ 16.92,€ 3.22,€ 20.14,,,,
June,11/06/2025,,EKO,Traveling Expenses,Fuels,€ 8.50,€ 1.62,€ 10.12,,,,
June,09/06/2025,,EKO,Traveling Expenses,Fuels,€ 7.61,€ 1.44,€ 9.05,,,,
June,07/06/2025,,EKO,Traveling Expenses,Fuels,€ 18.57,€ 3.28,€ 21.85,,,,
June,06/06/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
June,05/06/2025,,EKO,Traveling Expenses,Fuels,€ 9.45,€ 1.80,€ 11.25,,,,
June,01/06/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
June,29/06/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
June,27/06/2025,,EKO,Traveling Expenses,Fuels,€ 25.21,€ 4.79,€ 30.00,,,,
June,22/06/2025,,EKO,Traveling Expenses,Fuels,€ 6.61,€ 1.25,€ 7.86,,,,
June,20/06/2025,,EKO,Traveling Expenses,Fuels,€ 10.05,€ 1.91,€ 11.96,,,,
June,17/06/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
June,17/06/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
June,17/06/2025,,EKO,Traveling Expenses,Fuels,€ 25.21,€ 4.79,€ 30.00,,,,
July,08/07/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
July,12/07/2025,,EKO,Traveling Expenses,Fuels,€ 8.90,€ 1.69,€ 10.59,,,,
July,12/07/2025,,EKO,Traveling Expenses,Fuels,€ 25.21,€ 4.79,€ 30.00,,,,
July,15/07/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
July,18/07/2025,,EKO,Traveling Expenses,Fuels,€ 8.36,€ 1.59,€ 9.95,,,,
July,21/07/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
July,23/07/2025,,EKO,Traveling Expenses,Fuels,€ 33.82,€ 6.43,€ 40.25,,,,
July,25/07/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
July,26/07/2025,,EKO,Traveling Expenses,Fuels,€ 8.71,€ 1.66,€ 10.37,,,,
July,28/07/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
August,02/08/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
August,02/08/2025,,EKO,Traveling Expenses,Fuels,€ 17.11,€ 3.25,€ 20.36,,,,
August,04/08/2025,,EKO,Traveling Expenses,Fuels,€ 25.21,€ 4.79,€ 30.00,,,,
August,05/08/2025,,EKO,Traveling Expenses,Fuels,€ 22.05,€ 4.19,€ 26.24,,,,
August,08/08/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
August,09/08/2025,,EKO,Traveling Expenses,Fuels,€ 16.57,€ 3.15,€ 19.72,,,,
August,22/08/2025,,EKO,Traveling Expenses,Fuels,€ 25.21,€ 4.79,€ 30.00,,,,
August,23/08/2025,,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
August,27/08/2025,,EKO,Traveling Expenses,Fuels,€ 18.49,€ 3.51,€ 22.00,,,,
August,31/08/2025,,EKO,Traveling Expenses,Fuels,€ 9.50,€ 1.80,€ 11.30,,,,
June,26/06/2025,,EKO,Traveling Expenses,Fuels,€ 26.89,€ 5.11,€ 32.00,,,,
June,18/06/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 43.71,€ 8.31,€ 52.02,,,,
August,13/08/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 42.02,€ 7.98,€ 50.00,,,,
August,07/08/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 44.12,€ 8.38,€ 52.50,,,,
August,29/08/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 40.34,€ 7.66,€ 48.00,,,,
August,21/08/2025,,R.A.M. OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 8.66,€ 1.64,€ 10.30,,,,
