Month,Date ,Invoice No,Invoice,Description,More Info,Amount without VAT,VAT,Total Amount,Payment Method,Invoice Number,Note,
March,31/03/2025,515765660,Google Cloud EMEA Limited,Service Subscription,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,Ireland,,
April,30/04/2025,5234629668,Google Cloud EMEA Limited,Service Subscription,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,Ireland,,
May,31/05/2025,5265229646,Google Cloud EMEA Limited,Service Subscription,Google Workspace Subscription,€ 6.90,€ 0.00,€ 6.90,,Ireland,,
,18/03/2025,RCD41500309,Envato Pty Ltd,Developer Tools,Themes,€ 49.29,€ 0.00,€ 49.29,,Non EU,,
April,10/04/2025,663688,Database Mart,Domain,mysunbed.us,€ 15.41,€ 0.00,€ 15.41,,Non EU,,
April,15/04/2025,205720,Database Mart,Server Subscription,web server,€ 212.46,€ 0.00,€ 212.46,,Non EU,,
April,13/04/2025,207666,Database Mart,Server Subscription,email server,€ 72.34,€ 0.00,€ 72.34,,Non EU,,
May,21/05/2025,667166,Database Mart,Rapid SSL,3inventors.com,€ 35.48,€ 0.00,€ 35.48,,Non EU,,
May,13/05/2025,228491,Database Mart,Server Subscription,email server,€ 73.44,€ 0.00,€ 73.44,,Non EU,,
May,10/05/2025,226451,Database Mart,Server Subscription,web server,€ 221.43,€ 0.00,€ 221.43,,Non EU,,
March,21/03/2025,662001,Database Mart,Domain,ineedaharley.com,€ 15.41,€ 0.00,€ 15.41,,Non EU,,
March,17/03/2025,189994,Database Mart,Server Subscription,web server,€ 228.28,€ 0.00,€ 228.28,,Non EU,,
March,17/03/2025,189995,Database Mart,Server Subscription,email server,€ 75.45,€ 0.00,€ 75.45,,Non EU,,
April,10/04/2025,3653183797,GoDaddy,Domain,mysunbed.eu,€ 10.99,€ 2.09,€ 13.08,,Non EU,,
April,19/04/2025,108698,University Of Cyprus,Domain,"mysunbed, sunbed",€ 100.84,€ 19.16,€ 120.00,,,,
March,21/03/2025,108099,University Of Cyprus,Domain,ihm.com.cy,€ 16.81,€ 3.19,€ 20.00,,,,
May,05/05/2025,109054,University Of Cyprus,Domain,elecessentials.com.cy,€ 42.02,€ 7.98,€ 50.00,,,,
May,30/05/2025,INV/2025/00936,MCIT LTD,Hardware,OCC Limassol,€ 588.00,€ 111.72,€ 699.72,,,,
April,10/04/2025,1250038,Iminders,Conference,Technology in Action 2025,"€ 1,000.00",€ 190.00,"€ 1,190.00",,,,
March,02/03/2025,25/132-CON,MindByte Communications LTD,4 Penguin Stand Banners Frames,Technology in Action 2025,€ 240.00,€ 50.36,€ 290.36,,,,
March,20/03/2025,35410,Grammarlt Inc,Service Subscription,Grammarly Subscription,€ 144.00,€ 0.00,€ 144.00,,,,
April,02/04/2025,1811,L.S. Technipro Signs LTD,Banners,Technology in Action 2025,€ 170.00,€ 32.30,€ 202.30,,,,
