Month,Date ,Invoice No,Invoice,Description,More Info,Amount without VAT,VAT,Total Amount,Payment Method,Country,Note,
September,28/09/2025,,LIDL,Supermarket,Food,€ 11.55,€ 1.57,€ 13.12,,,,
September,24/09/2025,,LIDL,Supermarket,Food,€ 16.28,€ 0.70,€ 16.98,,,,
September,22/09/2025,,LIDL,Supermarket,Food,€ 16.64,€ 0.81,€ 17.45,,,,
September,20/09/2025,,LIDL,Supermarket,Food,€ 12.89,€ 0.69,€ 13.58,,,,
September,16/09/2025,,LIDL,Supermarket,Food,€ 23.77,€ 1.34,€ 25.11,,,,
September,14/09/2025,,LIDL,Supermarket,Food,€ 52.15,€ 7.43,€ 59.58,,,,
September,13/09/2025,,LIDL,Supermarket,Food,€ 9.24,€ 1.75,€ 10.99,,,,
September,09/09/2025,,LIDL,Supermarket,Food,€ 11.20,€ 0.28,€ 11.48,,,,
September,07/09/2025,,Vienna Bakeries ,Bakerie,Food,€ 6.90,€ 0.37,€ 7.27,,,,
September,27/09/2025,,Zorbas Bakeries,Bakerie,food,€ 4.58,€ 0.23,€ 4.81,,,,
September,03/09/2025,,Zorbas Bakeries,Bakerie,Food,€ 12.37,€ 0.63,€ 13.00,,,,
September,28/09/2025,,Metro supermarket,Supermarket,Food,€ 6.04,€ 0.30,€ 6.34,,,,
September,08/09/2025,,Metro supermarket,Supermarket,Food,€ 16.78,€ 0.59,€ 17.37,,,,
September,04/09/2025,,Sklavenitis ,Supermarket,Food,€ 7.82,€ 0.39,€ 8.21,,,,
September,16/09/2025,,Sklavenitis ,Supermarket,Food,€ 8.19,€ 0.78,€ 8.97,,,,
September,26/09/2025,,WADDAH FLAHAHA TRADING LTD,market,food,€ 3.76,€ 0.19,€ 3.95,,,,
September,24/09/2025,,WADDAH FLAHAHA TRADING LTD,market,Food,€ 4.11,€ 0.16,€ 4.27,,,,
September,05/09/2025,CA30065454,Char.J.Philippides & Son ltd,Office,Stationary,€ 1.92,€ 0.36,€ 2.28,,,,
September,23/09/2025,922666901,Parga,Office,Stationary,€ 16.90,€ 1.20,€ 18.10,,,,
September,13/09/2025,922665086,Parga,Office,Stationary,€ 22.64,€ 0.68,€ 23.32,,,,
September,04/09/2025,,BEAN BAR,Restaurants & Bar,Meeting,€ 9.50,€ 0.85,€ 10.35,,,,
September,28/09/2025,,CAFÉ LA MODE ,Restaurants & Bar,Meeting,€ 38.97,€ 3.35,€ 42.32,,,,
September,15/09/2025,,SVL SOUVLAKILOVERS ,Restaurants & Bar,Meeting,€ 25.50,€ 2.30,€ 27.80,,,,
September,05/09/2025,,Avantage B&R Italian Restaurants Ltd /JAMIE OLIVER NCA,Restaurants & Bar,Meeting,€ 43.67,€ 3.93,€ 47.60,,,,
September,03/09/2025,,BABYLON,Restaurants & Bar,Meeting,€ 53.30,€ 4.80,€ 58.10,,,,
September,13/09/2025,P204000371030,Superhome center ,BATH equipment,Equipment,€ 11.76,€ 2.23,€ 13.99,,,,
September,22/09/2025,6000837697,HM HOUSE MARKET (CYPRUS)LTD,Office equipment,Equipment,€ 21.25,€ 4.04,€ 25.29,,,,
October,02/10/2025,,BABYLON,Restaurants & Bar,Meeting,€ 33.94,€ 3.06,€ 37.00,,,,
November,27/11/2025,,LIDL,Supermarket,Food,€ 3.26,€ 0.62,€ 3.88,,,,
October,13/10/2025,,LIDL,Supermarket,Food,€ 10.71,€ 2.04,€ 12.75,,,,
October,12/10/2025,,LIDL,Supermarket,Food,€ 11.18,€ 0.44,€ 11.62,,,,
October,10/10/2025,,LIDL,Supermarket,Food,€ 15.60,€ 0.73,€ 16.33,,,,
October,06/10/2025,,LIDL,Supermarket,Food,€ 10.58,€ 0.39,€ 10.97,,,,
October,03/10/2025,,LIDL,Supermarket,Food,€ 16.60,€ 0.81,€ 17.41,,,,
October,01/10/2025,,LIDL,Supermarket,Food,€ 4.61,€ 0.87,€ 5.48,,,,
October,20/10/2025,,LIDL,Supermarket,Food,€ 11.62,€ 0.80,€ 12.42,,,,
October,19/10/2025,,LIDL,Supermarket,Food,€ 11.60,€ 1.73,€ 13.33,,,,
October,25/10/2025,,LIDL,Supermarket,Food,€ 3.41,€ 0.17,€ 3.58,,,,
November,05/11/2025,,LIDL,Supermarket,Food,€ 31.24,€ 5.05,€ 36.29,,,,
November,01/11/2025,,LIDL,Supermarket,Food,€ 17.03,€ 1.02,€ 18.05,,,,
November,17/11/2025,,LIDL,Supermarket,Food,€ 8.16,€ 0.31,€ 8.47,,,,
November,24/11/2025,,LIDL,Supermarket,Food,€ 32.30,€ 1.85,€ 34.15,,,,
November,16/11/2025,,LIDL,Supermarket,Food,€ 20.20,€ 1.87,€ 22.07,,,,
November,30/11/2025,,LIDL,Supermarket,Food,€ 9.81,€ 0.92,€ 10.73,,,,
November,28/11/2025,,LIDL,Supermarket,Food,€ 22.39,€ 1.03,€ 23.42,,,,
October,08/10/2025,,Metro supermarket,Supermarket,Food,€ 11.92,€ 0.51,€ 12.43,,,,
October,21/10/2025,,Metro supermarket,Supermarket,Food,€ 12.54,€ 0.47,€ 13.01,,,,
October,24/10/2025,,Metro supermarket,Supermarket,Food,€ 3.64,€ 0.18,€ 3.82,,,,
November,02/11/2025,,Metro supermarket,Supermarket,Food,€ 12.07,€ 0.60,€ 12.67,,,,
November,06/11/2025,,Metro supermarket,Supermarket,Food,€ 8.31,€ 0.42,€ 8.73,,,,
November,11/11/2025,,Metro supermarket,Supermarket,Food,€ 6.41,€ 0.32,€ 6.73,,,,
November,17/11/2025,,Metro supermarket,Supermarket,Food,€ 2.81,€ 0.14,€ 2.95,,,,
November,21/11/2025,,Metro supermarket,Supermarket,Food,€ 14.40,€ 0.73,€ 15.13,,,,
October,11/10/2025,,Sklavenitis ,Supermarket,Food,€ 11.49,€ 0.57,€ 12.06,,,,
October,13/10/2025,,Sklavenitis ,Supermarket,Food,€ 13.84,€ 1.21,€ 15.05,,,,
October,20/10/2025,,Sklavenitis ,Supermarket,Food,€ 2.24,€ 0.11,€ 2.35,,,,
November,08/11/2025,,Sklavenitis ,Supermarket,Food,€ 17.13,€ 0.80,€ 17.93,,,,
November,10/11/2025,,Sklavenitis ,Supermarket,Food,€ 12.28,€ 1.14,€ 13.42,,,,
October,20/10/2025,,WADDAH FLAHAHA TRADING LTD,market,Food,€ 4.05,€ 0.20,€ 4.25,,,,
October,22/10/2025,,foodhaus ,Supermarket,Food,€ 5.24,€ 0.26,€ 5.50,,,,
November,01/11/2025,,Zorbas Bakeries,bakerie,Food,€ 1.81,€ 0.09,€ 1.90,,,,
November,02/11/2025,,Superhome center ,kitchen,Equipment,€ 20.39,€ 3.88,€ 24.27,,,,
November,29/11/2025,,Superhome center ,wc,Equipment,€ 17.80,€ 3.38,€ 21.18,,,,
November,22/11/2025,,Superhome center ,kitchen,Equipment,€ 4.56,€ 0.23,€ 4.79,,,,
November,29/11/2025,,Superhome center ,kitchen,Equipment,€ 8.97,€ 1.70,€ 10.67,,,,
October,09/10/2025,,clock café arise ,Café,meeting,€ 5.71,€ 0.29,€ 6.00,,,,
October,08/10/2025,,Mariancchi-Karvounonostimies,tavern,Meeting,€ 24.31,€ 2.19,€ 26.50,,,,
October,18/10/2025,,To potopoleio L.A. Armenias LTD,Restaurants & Bar,Meeting,€ 55.06,€ 4.94,€ 60.00,,,,
October,18/10/2025,,BABYLON,Restaurants & Bar,Meeting,€ 24.31,€ 2.19,€ 26.50,,,,
November,07/11/2025,,To potopoleio L.A. Armenias LTD,Restaurants & Bar,Meeting,€ 39.44,€ 3.56,€ 43.00,,,,
November,08/11/2025,,vassos eliades,Café,consumables,€ 15.05,€ 0.75,€ 15.80,,,,
